cntry;essround;idno;pspwght;pweight;polintr;happy;gndr;yrbrn;agea;chldhm;edulvla;eisced;eduyrs;pdwrk;edctn;wkhtot;isco08;uemp3m;hinctnta
CH;8;181;0.75395447;0.464939934;1;8;1;1947;69;2;5;5;9;0;0;70;1222;2;4
CH;8;183;1.152878165;0.464939934;3;9;2;1970;46;1;3;3;9;1;0;35;4412;2;3
CH;8;184;1.022381425;0.464939934;2;7;1;1988;28;2;3;4;19;0;1;25;2500;2;2
CH;8;185;1.090924263;0.464939934;1;9;2;1933;83;2;3;4;13;0;0;42;2341;2;6
CH;8;198;1.210716963;0.464939934;3;7;2;1951;65;2;3;4;12;0;0;0;4120;1;3
CH;8;199;1.102796197;0.464939934;1;8;2;1942;74;2;3;4;13;0;0;25;7323;1;4
CH;8;201;1.152878165;0.464939934;3;4;2;1965;51;2;3;3;10;0;0;38;5211;1;2
CH;8;207;0.979478419;0.464939934;2;8;2;1988;28;2;5;5;9;1;0;56;1221;2;8
CH;8;208;0.993800044;0.464939934;4;7;1;1972;45;2;2;2;9;0;0;12;9110;1;2
CH;8;210;1.17324388;0.464939934;2;8;1;1970;47;1;5;7;13;1;0;55;1120;2;77
CH;8;214;1.210716963;0.464939934;4;10;2;1933;83;2;2;2;9;0;0;0;3119;2;1
CH;8;216;0.924070776;0.464939934;2;10;2;1954;62;2;3;3;9;1;0;40;3221;2;2
CH;8;221;1.090924263;0.464939934;2;10;2;1945;71;2;3;3;9;0;0;50;5221;2;2
CH;8;222;0.899777412;0.464939934;3;8;1;1961;55;2;2;2;9;1;0;43;8121;1;4
CH;8;223;0.75395447;0.464939934;2;9;1;1952;64;2;5;5;8;1;0;50;7131;2;4
CH;8;225;0.866011918;0.464939934;4;8;1;1990;26;2;3;3;10;0;1;40;8171;2;77
CH;8;227;1.003414631;0.464939934;3;7;2;1971;45;2;5;7;17;1;0;44;2500;2;10
CH;8;232;0.75395447;0.464939934;1;10;1;1944;72;2;5;5;13;0;0;50;2161;1;3
CH;8;241;1.210716963;0.464939934;3;10;2;1925;91;2;1;1;9;0;0;888;9110;2;2
CH;8;243;0.899777412;0.464939934;2;5;1;1957;59;2;3;3;14;1;0;3;5111;2;5
CH;8;248;1.152878165;0.464939934;4;7;2;1972;45;2;5;5;18;1;0;46;3313;1;7
CH;8;250;0.78312695;0.464939934;3;10;1;1958;58;2;3;3;10;1;0;30;3412;1;3
CH;8;253;0.899777412;0.464939934;2;7;1;1957;59;2;3;3;12;1;0;40;5164;2;77
